Package,Version
beamercolorthemeowl,0.1.1
beamerdarkthemes,0.4.1
beamerposter,1.13
beamersubframe,0.2
beamerswitch,1.6.1
beamertheme-cuerna,
beamertheme-detlevcm,1.02
beamertheme-epyt,1.0
beamertheme-focus,2.5
beamertheme-light,1.0
beamertheme-metropolis,1.2
beamertheme-npbt,4.1
beamertheme-phnompenh,1.0
beamertheme-saintpetersburg,
beamertheme-upenn-bc,1.0
beamerthemejltree,1.1
beamerthemenirma,0.1
bearwear,0.1
beebe,
begingreek,1.5
begriff,1.6
beilstein,2.0
belleek,
bengali,
bera,
berenisadf,1.004
besjournals,
bestpapers,1.0
betababel,0.5
beton,
beuron,1.3
bewerbung,1.1
bez123,1.1b
bezierplot,1.4
bgreek,0.3
bgteubner,2.11
bguq,0.4
bhcexam,0.4
bib-fr,1.5
bib2gls,2.1
bib2gls.aarch64-linux,
bibarts,2.2
biber,2.14
bibexport,3.03
bibexport.aarch64-linux,
bibhtml,2.0.2
biblatex,3.14
biblatex-abnt,3.4
biblatex-anonymous,2.6.2
biblatex-apa,9.6
biblatex-apa6,8.3
biblatex-archaeology,2.2
biblatex-arthistory-bonn,1.2
biblatex-bath,3.2
biblatex-bookinarticle,1.3.1a
biblatex-bookinother,2.3.2
biblatex-bwl,0.02
biblatex-caspervector,0.3.4
biblatex-cheatsheet,
biblatex-chem,1.1y
biblatex-chicago,1.0rc5
biblatex-claves,1.2.1
biblatex-dw,1.7
biblatex-enc,1.0
biblatex-ext,0.8c
biblatex-fiwi,1.7
biblatex-gb7714-2015,1.0s
biblatex-gost,1.18
biblatex-historian,0.4
biblatex-ieee,1.3b
biblatex-ijsra,0.1
biblatex-iso690,0.3.3
biblatex-jura2,0.3
biblatex-juradiss,0.1g
biblatex-lni,0.5
biblatex-luh-ipw,0.3
biblatex-manuscripts-philology,2.1.2
biblatex-mla,1.9
biblatex-morenames,1.3.1
biblatex-multiple-dm,1.0.1
biblatex-musuos,1.0
biblatex-nature,1.3c
biblatex-nejm,0.5.0
biblatex-nottsclassic,0.1
biblatex-opcit-booktitle,1.9.0
biblatex-oxref,2.0.1
biblatex-philosophy,1.9.8a
biblatex-phys,1.1b
biblatex-publist,1.16
biblatex-realauthor,2.7.1a
biblatex-sbl,0.11
biblatex-science,1.2
biblatex-shortfields,1.0.1
biblatex-socialscienceshuberlin,0.0.1
biblatex-source-division,2.4.2
biblatex-subseries,1.2.0
biblatex-swiss-legal,1.1.2a
biblatex-trad,0.4a
biblatex-true-citepages-omit,2.0.0
bibleref,1.24
bibleref-french,2.3.3
bibleref-german,1.0a
bibleref-lds,1.0
bibleref-mouth,1.0
bibleref-parse,1.1
bibletext,0.1.2
biblist,
bibtex,0.99d
bibtex.aarch64-linux,
bibtex8,3.71
bibtex8.aarch64-linux,
bibtexperllibs,1.5
bibtexu,
bibtexu.aarch64-linux,
bibtopic,1.1a
bibtopicprefix,1.10
bibunits,2.2
bidi,35.11
bidi-atbegshi,0.1
bidicontour,0.2
bidihl,0.1c
bidipagegrid,0.2
bidipresentation,0.3
bidishadowtext,0.1
bigfoot,2.1
bigintcalc,1.5
bigints,
binarytree,1.01
binomexp,1.0
biochemistry-colors,1.00
biocon,
biolett-bst,
bitelist,0.1
bitpattern,
bitset,1.3
bitter,
bizcard,1.1
blacklettert1,
blindtext,2.0
blkarray,0.07
blochsphere,1.1
block,
blockdraw_mp,
bloques,1.0
blowup,1.0
blox,2.5
bnumexpr,1.2d
bodegraph,1.4
bohr,1.0
boisik,0.5
boites,1.1
bold-extra,0.1
boldtensors,
bondgraph,1.0
bondgraphs,1.0.1
bookcover,2.3
bookdb,0.2
bookest,1.1
bookhands,
booklet,0.7b
bookman,
bookmark,1.28
booktabs,1.61803398
booktabs-de,1.61803
booktabs-fr,1.00
boolexpr,3.14
boondox,1.02d
bophook,0.02
borceux,
bosisio,
boxedminipage,2
boxedminipage2e,1.0
boxhandler,1.30
bpchem,1.1
bpolynomial,0.5
br-lex,
bracketkey,1.0
braids,2.0
braille,
braket,
brandeis-dissertation,3.0
brandeis-problemset,0.5.5
brandeis-thesis,1.0
breakcites,
breakurl,1.40
bredzenie,1.0
breqn,0.98i
bropd,1.2
brushscr,
bullcntr,0.04
bundledoc,3.4
bundledoc.aarch64-linux,
burmese,
businesscard-qrcode,1.2
bussproofs,1.1
bussproofs-extra,0.4
bxbase,1.1
bxcalc,1.0b
bxcjkjatype,0.3
bxdpx-beamer,0.3
bxdvidriver,0.2a
bxeepic,0.2
bxenclose,0.2
bxghost,0.3.0
bxjaholiday,1.0.0
bxjalipsum,0.3a
bxjaprnind,0.3b
bxjatoucs,0.2
bxjscls,1.9k
bxnewfont,0.2b
bxorigcapt,0.3
bxpapersize,0.4
bxpdfver,0.4
bxtexlogo,0.4
bxwareki,0.6
bytefield,2.4
c-pascal,1.2
c90,
cabin,
cachepic,1.0
cachepic.aarch64-linux,
caladea,
calcage,0.90
calctab,0.6.1
calculation,1.0
calculator,2.0
calligra,
calligra-type1,001.000
callouts,
calrsfs,
cals,2.4.2
calxxxx-yyyy,20.20a
cancel,2.2
canoniclayout,0.4
cantarell,3.2
capt-of,
captcont,2.0
captdef,
caption,
carbohydrates,0.1
carlisle,
carlito,
carolmin-ps,
cascade,1.01
cascadilla,1.8.2
cases,
casyl,2.0
catchfile,1.8
catchfilebetweentags,1.1
catcodes,r0.2
catechis,2.5
catoptions,0.2.7h
cbcoptic,0.2
cbfonts,
cbfonts-fd,1.2
cc-pl,1.02.2
ccaption,3.2c
ccfonts,1.1
ccicons,1.6
cclicenses,
cd,1.4
cd-cover,1.0
cdpbundl,0.36d
cell,
cellprops,1.6
cellspace,1.8.1
celtic,1.1
censor,3.22
centeredline,1.1
cesenaexam,0.2
cfr-initials,1.01
cfr-lm,1.5
changebar,3.6c
changelayout,1.0
changelog,2.1.0
changepage,1.0c
changes,3.2.1
chappg,2.1b
chapterfolder,2.0.1
charter,
chbibref,1.0
cheatsheet,0.8
checkcites,2.4
checkcites.aarch64-linux,
checkend,1.0
checklistings,1.0
checklistings.aarch64-linux,
chem-journal,
chemarrow,0.9
chembst,0.2.5
chemcompounds,
chemcono,1.3
chemexec,1.0
chemfig,1.41
chemformula,4.15i
chemgreek,1.1a
chemmacros,5.10
chemnum,1.2c
chemplants,0.9.8
chemschemex,1.2
chemsec,1.12a
chemstyle,2.0m
cherokee,
chess,1.2
chess-problem-diagrams,1.15
chessboard,1.8
chessfss,1.2a
chet,2.2
chextras,1.01
chicago,
chicago-annote,
chicagoa,
chickenize,0.2.5
childdoc,2.0
chivo,2.1
chkfloat,0.1
chklref,3.1.2
chklref.aarch64-linux,
chktex,1.7.6
chktex.aarch64-linux,
chletter,2.0
chngcntr,1.1a
chordbars,1.1
chordbox,1.0
chronology,1.1.1
chronosys,1.2
chs-physics-report,
chscite,2.9999
churchslavonic,0.2.1
cinzel,
circ,1.1
circledsteps,1.3
circuit-macros,9.2
circuitikz,1.0.1
cite,5.5
citeall,1.4
citeref,1.1
cje,1.06
cjhebrew,0.2a
cjk,4.8.4
cjk-gs-integrate,20200115.0
cjk-gs-integrate.aarch64-linux,
cjk-ko,1.8
cjkpunct,4.8.4
cjkutils,4.8.4
cjkutils.aarch64-linux,
clara,
classics,0.1a
classicthesis,4.6
classpack,0.77
cleanthesis,0.4.0
clearsans,
clefval,
cleveref,0.21.4
clipboard,0.3
clock,
clojure-pamphlet,1.3
clojure-pamphlet.aarch64-linux,
cloze,1.2
clrdblpg,1.0
clrscode,1.7
clrscode3e,
clrstrip,
cluttex,0.5
cluttex.aarch64-linux,
cm,
cm-lgc,0.5
cm-mf-extra-bold,
cm-super,
cm-unicode,0.7.0
cmap,1.0h
cmarrows,0.9
cmbright,8.1
cmcyr,
cmdstring,1.1
cmdtrack,
cmexb,
cmextra,
cmll,
cmpica,
cmpj,3.02
cmsd,
cmsrb,3.1
cmtiup,2.1
cmupint,1.0
cnbwp,
cnltx,0.15
cns,4.2.0
cntformats,0.7
cntperchap,0.3
cochineal,1.060
codeanatomy,0.4-Alpha
codedoc,0.3
codepage,
codesection,0.1
codicefiscaleitaliano,1.2
coelacanth,0.005
collcell,0.5
collectbox,0.4b
collection-basic,
collection-bibtexextra,
collection-binextra,
collection-context,
collection-fontsextra,
collection-fontsrecommended,
collection-fontutils,
collection-formatsextra,
collection-games,
collection-humanities,
collection-langarabic,
collection-langchinese,
collection-langcjk,
collection-langcyrillic,
collection-langczechslovak,
collection-langenglish,
collection-langeuropean,
collection-langfrench,
collection-langgerman,
collection-langgreek,
collection-langitalian,
collection-langjapanese,
collection-langkorean,
collection-langother,
collection-langpolish,
collection-langportuguese,
collection-langspanish,
collection-latex,
collection-latexextra,
collection-latexrecommended,
collection-luatex,
collection-mathscience,
collection-metapost,
collection-music,
collection-pictures,
collection-plaingeneric,
collection-pstricks,
collection-publishers,
collection-texworks,
collection-xetex,
collref,2.0c
colophon,1.1
colordoc,
colorinfo,0.3c
coloring,0.2
colorprofiles,20181105
colorsep,
colorspace,1.3
colortab,1.0
colortbl,1.0e
colorwav,1.0
colorweb,1.3
colourchange,1.22
combelow,0.99f
combine,0.7a
combinedgraphics,0.2.2
combofont,0.3
comfortaa,3.2
comicneue,1.1
comma,1.2
commado,r0.11a
commath,0.3
commedit,1.02
comment,3.8
compactbib,
competences,1.0
complexity,0.81a
components-of-TeX,
comprehensive,12.3
computational-complexity,2.25f
concepts,0.0.5-r1
concmath,
concmath-fonts,
concprog,
concrete,
confproc,0.8
constants,1.0
conteq,0.1.1
context,
context-account,
context-algorithmic,
context-animation,
context-annotation,
context-bnf,
context-chromato,
context-cmscbf,
context-cmttbf,
context-construction-plan,
